ora,watt
1517,1954.46
1518,1937.81
1519,1944.18
1520,1951.03
1521,1936.83
1522,1944.67
1523,1968.16
1524,1967.68
1525,1972.57
1526,1947.60
1527,1944.67
1528,1962.29
1529,1966.21
1530,1943.20
1531,1948.09
1532,1945.16
1533,1948.09
1534,1945.65
1535,1958.86
1536,1962.29
1537,1962.29
1538,1962.29
1539,1951.03
1540,1965.72
1541,1958.37
1542,1949.07
1543,1952.50
1544,1961.31
1545,1960.82
1546,1959.35
1547,1952.99
1548,1956.42
1549,1951.52
1550,1949.07
1551,1945.65
1552,1940.75
1553,1952.01
1554,1949.56
1555,1936.83
1556,1928.51
1557,1917.25
1558,1915.78
1559,1923.13
1600,1918.72
1601,1912.85
1602,1867.32
1603,1895.71
1604,1886.90
1605,1876.13
1606,1877.11
1607,1873.68
1608,1865.36
1609,1875.15
1610,1867.32
1611,1849.21
1612,1838.44
1613,1836.97
1614,1830.12
1615,1812.00
1616,1812.00
1617,1809.56
1618,1792.42
1619,1787.53
1620,1776.27
1621,1774.31
1622,1766.48
1623,1757.18
1624,1699.90
1625,1724.38
1626,1714.10
1627,1693.05
1628,1649.97
1629,1677.87
1630,1658.29
1631,1625.98
1632,1653.88
1633,1699.90
1634,1695.49
1635,1683.74
1636,1651.93
1637,1672.98
1638,1648.01
1639,1615.70
1640,1618.15
1641,1598.08
1642,1597.59
1643,1595.14
1644,1602.48
1645,1592.20
1646,1577.03
1647,1570.66
1648,1586.33
1649,1575.56
1650,1555.49
1651,1549.12
1652,1558.42
1653,1548.63
1654,1525.14
1655,1474.71
1656,1431.14
1657,1438.98
1658,1471.78
1659,1461.99
1700,1468.84
1701,1461.99
1702,1401.28
1703,1440.45
1704,1439.96
1705,1423.80
1706,1421.84
1707,1278.41
1708,1278.41
1709,1334.22
1710,1322.47
1711,1343.52
1712,1346.94
1713,1347.92
1714,1347.43
1715,1332.75
1716,1332.26
1717,1321.49
1718,1305.33
1719,1292.12
1720,1286.73
1721,1278.41
1722,1269.60
1723,1253.44
1724,1241.21
1725,1230.93
1726,1220.16
1727,1203.02
1728,1198.62
1729,1185.89
1730,1174.63
1731,1168.26
1732,1157.01
1733,1142.32
1734,1130.08
1735,1116.37
1736,1105.60
1737,1093.86
1738,1074.27
1739,1034.62
1740,1006.72
1741,993.50
1742,985.67
1743,982.24
1744,978.33
1745,993.01
1746,992.03
1747,979.30
1748,964.62
1749,950.42
1750,934.27
1751,922.03
1752,906.85
1753,867.69
1754,835.38
1755,762.93
1756,754.61
1757,708.10
1758,725.24
1759,619.99
1800,602.36
1801,475.57
1802,426.13
1803,608.73
1804,583.76
1805,431.51
1806,335.08
1807,442.28
1808,294.44
1809,216.12
1810,359.55
1811,318.43
1812,175.49
1813,89.33
1814,99.12
1815,94.22
1816,90.80
1817,86.88
1818,84.92
1819,81.01
1820,81.01
1821,77.09
1822,76.11
1823,74.15
1824,72.20
1825,69.26
1826,67.79
1827,65.83
1828,62.41
1829,60.94
1830,58.98
1831,57.02
1832,55.06
1833,52.12
1834,50.17
1835,47.72
1836,45.27
1837,43.31
1838,41.84
1839,29.49
1840,27.55
1841,24.65
1842,22.24
1843,20.30
1844,16.44
1845,13.54
1846,11.60
1847,10.15
1848,8.70
1849,7.25
1850,5.80
1851,3.87
1852,1.45
1853,0.00
1854,0.00
1855,0.00
1856,0.00
1857,0.00
