ora,watt
1711,1407.65
1712,1399.33
1713,1390.51
1714,1382.19
1715,1373.38
1716,1358.20
1717,1352.82
1718,1339.11
1719,1330.79
1720,1324.92
1721,1319.53
1722,1311.21
1723,1297.01
1724,1290.16
1725,1272.05
1726,1262.26
1727,1251.00
1728,1243.16
1729,1228.97
1730,1213.79
1731,1206.45
1732,1195.19
1733,1188.34
1734,1169.24
1735,1161.90
1736,1146.24
1737,1136.93
1738,1126.16
1739,1113.44
1740,1100.71
1741,1089.94
1742,1078.19
1743,1063.01
1744,1051.76
1745,1039.52
1746,1024.34
1747,1011.12
1748,998.89
1749,989.09
1750,978.33
1751,958.74
1752,950.91
1753,853.49
1754,815.31
1755,852.51
1756,797.20
1757,736.98
1758,725.24
1759,727.19
1800,716.91
1801,632.22
1802,674.81
1803,668.45
1804,643.97
1805,623.90
1806,590.61
1807,532.85
1808,486.83
1809,426.13
1810,426.62
1811,352.70
1812,339.48
1813,328.71
1814,244.02
1815,228.85
1816,137.30
1817,66.81
1818,70.24
1819,79.05
1820,76.11
1821,75.13
1822,72.20
1823,71.71
1824,71.71
1825,73.66
1826,66.32
1827,65.34
1828,62.89
1829,60.94
1830,57.51
1831,56.53
1832,54.08
1833,52.12
1834,49.68
1835,46.74
1836,45.27
1837,44.29
1838,29.97
1839,29.00
1840,27.55
1841,25.14
1842,23.69
1843,21.75
1844,20.30
1845,18.37
1846,14.99
1847,12.08
1848,11.12
1849,9.67
1850,7.73
1851,6.77
1852,5.32
1853,3.38
1854,1.93
1855,0.97
1856,0.00
1857,0.00
1858,0.00
1859,0.00
1900,0.00
1901,0.00
1902,0.00
1903,0.00
1904,0.00
1905,0.00
1906,0.00
1907,0.00
1908,0.00
1909,0.00
1910,0.00
1911,0.00
1912,0.00
1913,0.00
1914,0.00
1915,0.00
1916,0.00
1917,0.00
1918,0.00
1919,0.00
1920,0.00
1921,0.00
1922,0.00
1923,0.00
1924,0.00
1925,0.00
1926,0.00
1927,0.00
1928,0.00
1929,0.00
1930,0.00
1931,0.00
1932,0.00
1933,0.00
1934,0.00
1935,0.00
1936,0.00
1937,0.00
1938,0.00
1939,0.00
1940,0.00
1941,0.00
1942,0.00
1943,0.00
1944,0.00
1945,0.00
1946,0.00
1947,0.00
1948,0.00
1949,0.00
1950,0.00
1951,0.00
1952,0.00
1953,0.00
1954,0.00
1956,0.00
1957,0.00
1958,0.00
1959,0.00
2000,0.00
2001,0.00
2002,0.00
2003,0.00
2004,0.00
2005,0.00
2006,0.00
2007,0.00
2008,0.00
2009,0.00
2010,0.00
2011,0.00
2012,0.00
2013,0.00
2014,0.00
2015,0.00
2016,0.00
2017,0.00
2018,0.00
2019,0.00
2020,0.00
2021,0.00
2022,0.00
2023,0.00
2024,0.00
2025,0.00
2026,0.00
2027,0.00
2028,0.00
2029,0.00
2030,0.00
2031,0.00
2032,0.00
2033,0.00
2034,0.00
2035,0.00
2036,0.00
2037,0.00
2038,0.00
2039,0.00
2040,0.00
2041,0.00
2042,0.00
2043,0.00
2044,0.00
2045,0.00
2046,0.00
2047,0.00
2048,0.00
2049,0.00
2050,0.00
2051,0.00
2052,0.00
2053,0.00
2054,0.00
2055,0.00
2056,0.00
2057,0.00
2058,0.00
2059,0.00
2100,0.00
2101,0.00
2102,0.00
2103,0.00
2104,0.00
2105,0.00
2106,0.00
2107,0.00
2108,0.00
2109,0.00
2110,0.00
2111,0.00
2112,0.00
2113,0.00
2114,0.00
2115,0.00
2116,0.00
2117,0.00
2118,0.00
2119,0.00
2120,0.00
2121,0.00
2122,0.00
2123,0.00
2124,0.00
2125,0.00
2126,0.00
2127,0.00
2128,0.00
2129,0.00
2130,0.00
