ora,watt
1353,2060.20
1354,2059.71
1355,2055.30
1356,1969.63
1357,1926.06
1358,1932.92
1359,1946.63
1400,1942.71
1401,1784.59
1402,1750.32
1403,1774.80
1404,1519.75
1405,1763.54
1406,1899.63
1407,1860.47
1408,1820.33
1409,1758.15
1410,1687.66
1411,2059.71
1412,2058.24
1413,2058.73
1414,2056.77
1415,2050.41
1416,2051.88
1417,2056.28
1418,2052.36
1419,2055.79
1420,2053.34
1421,2055.79
1422,2054.32
1423,2052.85
1424,2055.79
1425,2055.79
1426,2055.30
1427,2046.98
1428,2050.90
1429,2055.79
1430,2053.83
1431,2053.34
1432,2053.83
1433,2051.39
1434,2052.36
1435,2053.34
1436,2049.92
1437,2049.43
1438,2050.90
1439,2055.79
1440,2054.32
1441,2053.34
1442,2056.28
1443,2058.24
1444,2057.26
1445,2057.26
1446,2058.73
1447,2056.28
1448,2055.79
1449,2056.77
1450,2049.43
1451,2056.77
1452,2059.71
1453,2059.22
1454,2059.22
1455,2053.83
1456,2056.77
1457,2051.39
1458,2054.32
1459,2048.94
1500,2059.22
1501,2057.26
1502,2058.24
1503,2054.32
1504,2055.30
1505,2056.28
1506,2058.24
1507,2053.34
1508,2046.98
1509,2058.73
1510,2057.26
1511,2053.83
1512,2053.34
1513,2054.81
1514,2059.22
1515,2051.39
1516,2050.41
1517,2049.92
1518,2058.73
1519,2057.26
1520,2055.79
1521,2057.75
1522,2060.20
1523,1941.24
1524,1956.91
1525,1960.33
1526,1972.08
1527,1957.88
1528,1973.55
1529,1948.09
1530,1975.51
1531,1930.96
1532,1946.14
1533,1952.99
1534,1945.65
1535,1941.24
1536,1966.70
1537,1960.33
1538,1956.42
1539,1970.12
1540,1959.84
1541,1966.21
1542,1967.68
1543,1973.06
1544,1960.33
1545,1948.58
1546,1952.99
1547,1959.35
1548,1963.76
1549,1966.21
1550,1949.56
1551,1965.72
1552,1955.44
1553,1965.23
1554,1956.91
1555,1962.78
1556,1958.86
1557,1958.37
1558,1958.37
1559,1955.93
1600,1948.58
1601,1932.43
1602,1934.39
1603,1920.68
1604,1920.68
1605,1919.70
1606,1910.89
1607,1906.97
1608,1901.59
1609,1904.53
1610,1889.35
1611,1887.39
1612,1881.52
1613,1871.73
1614,1865.36
1615,1856.55
1616,1848.72
1617,1843.33
1618,1834.52
1619,1823.75
1620,1813.96
1621,1815.43
1622,1808.58
1623,1814.45
1624,1766.48
1625,1670.04
1626,1692.07
1627,1776.76
1628,1776.76
1629,1771.37
1630,1763.54
1631,1756.69
1632,1747.38
1633,1742.00
1634,1735.15
1635,1730.74
1636,1724.38
1637,1718.99
1638,1707.24
1639,1695.49
1640,1686.68
1641,1679.34
1642,1671.02
1643,1663.67
1644,1653.39
1645,1641.65
1646,1635.77
1647,1627.94
1648,1611.78
1649,1601.50
1650,1601.99
1651,1591.71
1652,1585.84
1653,1577.52
1654,1565.77
1655,1554.02
1656,1544.23
1657,1536.88
1658,1526.11
1659,1517.79
1700,1513.88
1701,1510.45
1702,1497.72
1703,1485.97
1704,1476.18
1705,1463.45
1706,1457.58
1707,1447.30
1708,1436.53
1709,1428.21
1710,1417.93
